B_ID	W_ID	B_AVAIL		PD_CHARGE
1001	W101	Yes		200
1002	W102	Yes		200
1003	W103	Yes		550
1004	W103	Yes		550
1005	W103	Yes		550
1006	W104	Yes		250
1007	W104	Yes		250
1008	W105	Yes		300
1009	W106	Yes		350
1010	W106	Yes		350
1011	W106	Yes		350
1012	W106	Yes		350
1013	W106	Yes		350
1014	W107	Yes		700
1015	W107	Yes		700
1016	W107	Yes		700
1017	W107	Yes		700
1018	W108	Yes		600
1019	W108	Yes		600
1020	W108	Yes		600
1021	W109	Yes		630
1022	W109	Yes		630
1023	W110	Yes		450
1024	W110	Yes		450
1025	W110	Yes		450
1026	W110	Yes		450
1027	W110	Yes		450
1028	W110	Yes		450
1029	W101	Yes		200
1030	W101	Yes		200
1031	W101	Yes		200
1032	W101	Yes		200
1033	W112	Yes		100
1034	W112	Yes		100
1035	W112	Yes		100
1036	W112	Yes		100
1036	W113	Yes		235
1037	W113	Yes		235
1038	W113	Yes		235
